batch_id,type,user_count,produced_size_kb,ts0_generated,ts1_serialized,ts2_produced,ts3_created,ts4_consumed,ts5_deserialized,consumed_size_kb,serialize_duration,produce_duration,consume_duration,deserialize_duration,throughput_kbps
139,json,100,16.1064453125,1718372836.7881,1718372836.7881,1718372836.79307,1718372836.788,1718372836.79632,1718372836.79691,16.1064453125,0.0,0.00497102737426758,0.0083162784576416,0.000591278076171875,1936.73713482985
140,json,100,16.1044921875,1718372837.29436,1718372837.29436,1718372837.2976,1718372837.294,1718372837.30067,1718372837.30134,16.1044921875,0.0,0.00324630737304687,0.00666713714599609,0.000674724578857422,2415.50336146474
141,json,100,16.107421875,1718372837.80045,1718372837.80045,1718372837.80784,1718372837.8,1718372837.81022,1718372837.81093,16.107421875,0.0,0.00738692283630371,0.0102150440216064,0.000711917877197266,1576.83332944334
142,json,100,16.1064453125,1718372838.30996,1718372838.31,1718372838.31543,1718372838.31,1718372838.31764,1718372838.31853,16.1064453125,4.07695770263672e-05,0.00542759895324707,0.00763511657714844,0.000894784927368164,2109.52185860605
143,json,100,16.107421875,1718372838.81624,1718372838.81724,1718372838.82407,1718372838.817,1718372838.82468,1718372838.82535,16.107421875,0.000999689102172852,0.0068354606628418,0.00767827033996582,0.000673055648803711,2097.79301350722
144,json,100,16.1064453125,1718372839.32589,1718372839.32589,1718372839.33367,1718372839.325,1718372839.33556,1718372839.33692,16.1064453125,0.0,0.00777268409729004,0.0105564594268799,0.00136446952819824,1525.74311719403
145,json,100,16.1064453125,1718372839.83608,1718372839.83608,1718372839.84129,1718372839.836,1718372839.84365,1718372839.8451,16.1064453125,0.0,0.00520896911621094,0.00765013694763184,0.00145292282104492,2105.37999813008
146,json,100,16.107421875,1718372840.34343,1718372840.34526,1718372840.35468,1718372840.345,1718372840.35608,1718372840.35676,16.107421875,0.00182533264160156,0.00942564010620117,0.0110836029052734,0.000676870346069336,1453.26587506453
147,json,100,16.1044921875,1718372840.85632,1718372840.85733,1718372840.86489,1718372840.857,1718372840.86558,1718372840.86642,16.1044921875,0.00101375579833984,0.00755906105041504,0.00858259201049805,0.000833511352539063,1876.41357853214
148,json,100,16.1083984375,1718372841.3665,1718372841.36747,1718372841.37598,1718372841.367,1718372841.37654,1718372841.37855,16.1083984375,0.000964879989624023,0.00851607322692871,0.00954198837280273,0.00200486183166504,1688.15951226825
149,json,100,16.1044921875,1718372841.87813,1718372841.88013,1718372841.88582,1718372841.88,1718372841.8893,1718372841.89018,16.1044921875,0.00200057029724121,0.00568270683288574,0.00930213928222656,0.00087428092956543,1731.26758253024
150,json,100,16.1064453125,1718372842.38681,1718372842.38781,1718372842.39396,1718372842.387,1718372842.39835,1718372842.39949,16.1064453125,0.00100040435791016,0.00614738464355469,0.0113487243652344,0.00113821029663086,1419.22957983193
151,proto,1,0.0830078125,1718372842.9336,1718372843.10177,1718372843.94919,1718372843.101,1718372843.97137,1718372843.99141,0.0830078125,0.168171167373657,0.847418308258057,0.870373964309692,0.0200366973876953,0.0953702843878549
152,proto,1,0.0830078125,1718372844.45035,1718372844.45035,1718372844.45643,1718372844.45,1718372844.45884,1718372844.45884,0.0830078125,0.0,0.00607633590698242,0.00884342193603516,0.0,9.38639059635501
153,proto,1,0.0830078125,1718372844.95722,1718372844.95722,1718372844.96247,1718372844.957,1718372844.96247,1718372844.96247,0.0830078125,0.0,0.00525617599487305,0.00547337532043457,0.0,15.165744653047
154,proto,1,0.0830078125,1718372845.46377,1718372845.46478,1718372845.46947,1718372845.464,1718372845.47289,1718372845.47387,0.0830078125,0.00100278854370117,0.00469565391540527,0.00888729095458984,0.00098729133605957,9.34005794613156
155,proto,1,0.0830078125,1718372845.97658,1718372845.97658,1718372845.982,1718372845.976,1718372845.99379,1718372845.99379,0.0830078125,0.0,0.00541853904724121,0.0177865028381348,0.0,4.66689901075038
